TPOKM,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA OAKMONT TP|PA Oakmont Travel Plaza|Oakmont TP|Oakmont Travel Plaza|0|NA|NA|NA|40.521028|-79.814011
TPOKM,united states|pennsylvania|Oakmont TP|NA|4PA OAKMONT TP|PA Oakmont Travel Plaza|Oakmont TP|Oakmont Travel Plaza|0|NA|NA|#N/D|40.521028|-79.814011
TPONE,united states|new york|Iroquois TP - SOLD to Apple Green |NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPONE,united states|new york|Oneida TP|NA|4NY ONEIDA TP|NY Oneida Travel Plaza|Oneida TP|Oneida Travel Plaza|0|NA|NA|#N/D|43.125156|-75.414462
TPPAT,united states|new york|Pattersonville TP|NA|4NY PATTERSONVILLE TP|NY Pattersonville Travel Plaza|Pattersonville TP|Pattersonville Travel Plaza|0|NA|NA|#N/D|42.896846|-74.096847
TPPJC,united states|pennsylvania|Peter J. Camiel TP|NA|4PA PETER CAMIEL TP|PA Peter J Camiel Travel Plaza|Peter J. Camiel TP|Peter J. Camiel Service Plaza|0|NA|NA|#N/D|40.121954|-75.776358
TPPLA,united states|new york|Plattekill TP|NA|4NY PLATTEKILL TP|NY Plattekill Travel Plaza|Plattekill TP|Plattekill Travel Plaza|0|NA|NA|#N/D|41.577865|-74.085346
TPRST,united states|new jersey|Richard Stockton TP|NA|4NJ RICHARD STOCKTON TP|NJ Richard Stockton Travel Pl|Richard Stockton TP|Richard Stockton Travel Plaza|0|NA|NA|#N/D|40.177883|-74.631103
TPSIH,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA SIDELING HILL TP|PA Sidling Hill Travel Plaza|Sideling Hill TP|Sideling Hill Service Plaza|0|NA|NA|NA|40.058792|-78.08205
TPSIH,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4PA SIDELING HILL TP|PA Sidling Hill Travel Plaza|Sideling Hill TP|Sideling Hill Service Plaza|0|NA|NA|NA|40.058792|-78.08205
TPSIH,united states|pennsylvania|Sideling Hill TP|NA|4PA SIDELING HILL TP|PA Sidling Hill Travel Plaza|Sideling Hill TP|Sideling Hill Service Plaza|0|NA|NA|#N/D|40.058792|-78.08205
TPSLO,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NY SLOATSBURG TP|NY Sloatsburg Travel Plaza|Sloatsburg TP|Sloatsburg Travel Plaza|0|NA|NA|NA|41.150896|-74.188102
TPSLO,united states|new york|Sloatsburg TP|NA|4NY SLOATSBURG TP|NY Sloatsburg Travel Plaza|Sloatsburg TP|Sloatsburg Travel Plaza|0|NA|NA|#N/D|41.150896|-74.188102
TPSMD,united states|pennsylvania|Midway South TP|NA|4PA SOUTH MIDWAY TP|Midway South TP|Midway South TP|South Midway Travel Plaza|0|NA|NA|#N/D|40.030127|-78.493367
TPSSO,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA SOUTH SOMERSET TP|PA South Somerset Travel Plaza|Somerset South TP|South Somerset Travel Plaza|0|NA|NA|NA|39.999206|-79.046413
TPSSO,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4PA SOUTH SOMERSET TP|PA South Somerset Travel Plaza|Somerset South TP|South Somerset Travel Plaza|0|NA|NA|NA|39.999206|-79.046413
