HFLAX-2930F.46-T2-STBX-DEPART,united states|california|LAX|LAX-Terminal-2|LOS ANGELES AP|Los Angeles Airport AA|LAX|Los Angeles International Airport|0|switches|AirPort|#N/D|33.942501|-118.407997
HFLAX-2960X.35-T2-STBX-ARRV.ad.hmshost.com,united states|california|LAX|LAX-Terminal-2|LOS ANGELES AP|Los Angeles Airport AA|LAX|Los Angeles International Airport|0|switches|AirPort|#N/D|33.942501|-118.407997
HFLAX-2960X.87-Security,united states|california|LAX|LAX-TBIT|LOS ANGELES AP|Los Angeles Airport AA|LAX|Los Angeles International Airport|0|switches|AirPort|#N/D|33.942501|-118.407997
hflax-term2_RTR2911,united states|california|LAX|LAX-Terminal-2|LOS ANGELES AP|Los Angeles Airport AA|LAX|Los Angeles International Airport|35|router_mpls|AirPort|#N/D|33.942501|-118.407997
HFLGA2-2930.3TERMDSTBX,united states|new york|LaGuardia-OfficesSpace-Suite 3600-TC/2|NA|LA GUARDIA|La Guardia Airport F&B|LaGuardia-OfficesSpace-Suite 3600-TC/2|La Guardia Airport|0|switches|AirPort|LGA|40.777199|-73.872597
HFLGA2-2930F.100-Spare,united states|new york|LaGuardia-OfficesSpace-Suite 3600-TC/2|NA|LA GUARDIA|La Guardia Airport F&B|LaGuardia-OfficesSpace-Suite 3600-TC/2|La Guardia Airport|0|switches|AirPort|LGA|40.777199|-73.872597
HFLGA2-2930F.2-MainOffice,united states|new york|LaGuardia-OfficesSpace-Suite 3600-TC/2|NA|LA GUARDIA|La Guardia Airport F&B|LaGuardia-OfficesSpace-Suite 3600-TC/2|La Guardia Airport|100|core_switch|AirPort|LGA|40.777199|-73.872597
GRR-2930F.10-SSR2Closet-STBX,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-2930F.2-TC1Closet,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|100|core_switch|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.100-CORE,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|100|core_switch|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.3-SSR,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.4-TC2Closet,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.5-TC4Closet,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.6-Basement,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-2960X.8-MichiganBar,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|switches|AirPort|GRR|42.88079834|-85.52279663
GRR-SP1-81,united states|michigan|Grand Rapids AP|NA|GRAND RAPIDS AIRPORT|Grand Rapids Airport F&B|Grand Rapids AP|Gerald R. Ford International Airport|0|sdwan|AirPort|GRR|42.88079834|-85.52279663
GSO_RTR2911,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|35|router_mpls|AirPort|GSO|36.09780121|-79.93730164
GSO-2930F.3-North-Starbucks,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|0|switches|AirPort|GSO|36.09780121|-79.93730164
GSO-2930F.5-SouthSTBX,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|0|switches|AirPort|GSO|36.09780121|-79.93730164
GSO-2960X.100-CoreMainOffice,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|100|core_switch|AirPort|GSO|36.09780121|-79.93730164
GSO-2960X.2-Spare-MainOffice,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|100|core_switch|AirPort|GSO|36.09780121|-79.93730164
GSO-2960X.4-AccCafe,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|0|switches|AirPort|GSO|36.09780121|-79.93730164
GSO-SP-81,united states|north carolina|Greensboro AP|NA|GREENSBORO AP|Greensboro Airport F&B|Greensboro AP|Piedmont Triad International Airport|0|sdwan|AirPort|GSO|36.09780121|-79.93730164
Hflga2_Office_RTR4331,united states|new york|LaGuardia-OfficesSpace-Suite 3600-TC/2|NA|LA GUARDIA|La Guardia Airport F&B|LaGuardia-OfficesSpace-Suite 3600-TC/2|La Guardia Airport|35|router_mpls|AirPort|LGA|40.777199|-73.872597
HFPIT_RTR2911,united states|pennsylvania|Pittsburgh Int'l AP   ( PIT )|NA|NA|NA|NA|NA|35|router_mpls|Airport|NA|39.027677|-77.139111
